trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.4, 'e': 0.9385000000000068}",35,19,25.75320814549804,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.4, 'e': 0.9380000000000068}",25,0,25.62068974070008,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.4, 'e': 0.9375000000000069}",25,1,-9.33942186040603,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.4, 'e': 0.9370000000000069}",30,0,-49.58996765575076,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",1
127,False,"{'a': 0.4, 'e': 0.936500000000007}",25,0,29.246507764025594,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.4, 'e': 0.936000000000007}",20,16,6.385423541561547,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.9355000000000071}",20,9,17.74738373556827,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.4, 'e': 0.9350000000000072}",20,0,21.141945420000667,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.4, 'e': 0.9345000000000072}",20,0,18.004954749908727,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.4, 'e': 0.9340000000000073}",20,0,25.46663633052436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.4, 'e': 0.9335000000000073}",20,0,23.476683714982894,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.4, 'e': 0.9330000000000074}",20,0,20.23300476777581,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.4, 'e': 0.9325000000000074}",25,0,29.844702444715487,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.4, 'e': 0.9320000000000075}",25,0,31.715218265066763,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.4, 'e': 0.9315000000000075}",20,0,-18.68581475035145,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.4, 'e': 0.9310000000000076}",20,1,21.779935390677718,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.4, 'e': 0.9305000000000077}",35,0,38.633668348302336,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.4, 'e': 0.9300000000000077}",20,0,3.8229365263182,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
141,False,"{'a': 0.4, 'e': 0.9295000000000078}",25,0,27.387669125662768,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.4, 'e': 0.9290000000000078}",20,0,21.396912322025344,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.4, 'e': 0.9285000000000079}",20,10,13.87373947945414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.4, 'e': 0.9280000000000079}",25,0,5.8355382854647955,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.4, 'e': 0.927500000000008}",20,0,30.075137326790372,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.4, 'e': 0.927000000000008}",20,0,-17.493349493561013,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
147,False,"{'a': 0.4, 'e': 0.9265000000000081}",20,0,25.41012163702435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.4, 'e': 0.9260000000000081}",30,14,0.7280874686970942,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.4, 'e': 0.9255000000000082}",20,0,23.766322460549766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.4, 'e': 0.9250000000000083}",20,0,27.380224926264315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.4, 'e': 0.9245000000000083}",20,0,22.27887587236748,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.4, 'e': 0.9240000000000084}",30,0,21.127833516718656,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.4, 'e': 0.9235000000000084}",30,0,-4.976894779218004,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
154,False,"{'a': 0.4, 'e': 0.9230000000000085}",30,0,16.60412608627029,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.4, 'e': 0.9225000000000085}",20,0,18.44163920528088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.4, 'e': 0.9220000000000086}",20,0,21.521759423956667,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.4, 'e': 0.9215000000000086}",20,0,24.66695844161543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.4, 'e': 0.9210000000000087}",25,7,27.972771640159614,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4, 'e': 0.9205000000000088}",25,0,3.4843090594849997,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
